"Date","Open"
"2016-05-27","42.049999"
"2016-05-31","42.389999"
"2016-06-01","42.349998"
"2016-06-02","42.709999"
"2016-06-03","43"
"2016-06-06","42.650002"
"2016-06-07","43.540001"
"2016-06-08","43.98"
"2016-06-09","43.150002"
"2016-06-10","42.150002"
"2016-06-13","40.970001"
"2016-06-14","40.950001"
"2016-06-15","40.830002"
"2016-06-16","40.57"
"2016-06-17","41.599998"
"2016-06-20","43.419998"
"2016-06-21","43.369999"
"2016-06-22","43.110001"
"2016-06-23","43.540001"
"2016-06-24","40.669998"
"2016-06-27","39.709999"
"2016-06-28","40.02"
"2016-06-29","39.919998"
"2016-06-30","40.380001"
"2016-07-01","41.709999"
"2016-07-05","40.93"
"2016-07-06","38.900002"
"2016-07-07","39.799999"
"2016-07-08","40.959999"
"2016-07-11","42.34"
"2016-07-12","42.84"
"2016-07-13","42.700001"
"2016-07-14","42.709999"
"2016-07-15","42.540001"
"2016-07-18","42.279999"
"2016-07-19","41.810001"
"2016-07-20","42.290001"
"2016-07-21","42.259998"
"2016-07-22","42.82"
"2016-07-25","43.18"
"2016-07-26","43.259998"
"2016-07-27","44.810001"
"2016-07-28","44.759998"
"2016-07-29","45.049999"
"2016-08-01","45.029999"
"2016-08-02","45.599998"
"2016-08-03","46.43"
"2016-08-04","46.709999"
"2016-08-05","47"
"2016-08-08","47.389999"
"2016-08-09","47.52"
"2016-08-10","47.93"
"2016-08-11","48.07"
"2016-08-12","48.360001"
"2016-08-15","48.41"
"2016-08-16","47.880001"
"2016-08-17","47.619999"
"2016-08-18","48.060001"
"2016-08-19","47.43"
"2016-08-22","47.759998"
"2016-08-23","48.880001"
"2016-08-24","48.5"
"2016-08-25","48.040001"
"2016-08-26","48.349998"
"2016-08-29","48.400002"
"2016-08-30","48.389999"
"2016-08-31","48.189999"
"2016-09-01","48.27"
"2016-09-02","48.25"
"2016-09-06","48.25"
"2016-09-07","49.549999"
"2016-09-08","49.099998"
"2016-09-09","49.220001"
"2016-09-12","47.360001"
"2016-09-13","48.110001"
"2016-09-14","47.52"
"2016-09-15","46.950001"
"2016-09-16","46.549999"
"2016-09-19","47.560001"
"2016-09-20","47.490002"
"2016-09-21","48.549999"
"2016-09-22","50.43"
"2016-09-23","50.650002"
"2016-09-26","50.220001"
"2016-09-27","50.080002"
"2016-09-28","50.650002"
"2016-09-29","51.490002"
"2016-09-30","51.419998"
"2016-10-03","51.919998"
"2016-10-04","52.549999"
"2016-10-05","53.310001"
"2016-10-06","53.290001"
"2016-10-07","53.32"
"2016-10-10","54.18"
"2016-10-11","53.419998"
"2016-10-12","53.099998"
"2016-10-13","52.889999"
"2016-10-14","52.849998"
"2016-10-17","52.75"
"2016-10-18","52.73"
"2016-10-19","52.009998"
"2016-10-20","52.48"
"2016-10-21","52.02"
"2016-10-24","52.830002"
"2016-10-25","52.990002"
"2016-10-26","52.790001"
"2016-10-27","53.119999"
"2016-10-28","52.630001"
"2016-10-31","52.73"
"2016-11-01","53.09"
"2016-11-02","51.139999"
"2016-11-03","50.970001"
"2016-11-04","50.43"
"2016-11-07","53.52"
"2016-11-08","54.43"
"2016-11-09","53.990002"
"2016-11-10","53.459999"
"2016-11-11","53.380001"
"2016-11-14","53.57"
"2016-11-15","52.779999"
"2016-11-16","53.150002"
"2016-11-17","53.23"
"2016-11-18","53.189999"
"2016-11-21","53.200001"
"2016-11-22","53.830002"
"2016-11-23","53.139999"
"2016-11-25","54.689999"
"2016-11-28","54"
"2016-11-29","53.82"
"2016-11-30","54.939999"
"2016-12-01","54.009998"
"2016-12-02","54.200001"
"2016-12-05","55.029999"
"2016-12-06","55.07"
"2016-12-07","56.32"
"2016-12-08","56.66"
"2016-12-09","56.82"
"2016-12-12","57.07"
"2016-12-13","57.040001"
"2016-12-14","58"
"2016-12-15","57.880001"
"2016-12-16","58.099998"
"2016-12-19","58.34"
"2016-12-20","58.130001"
"2016-12-21","58.599998"
"2016-12-22","58.52"
"2016-12-23","58.439999"
"2016-12-27","58.41"
"2016-12-28","58.150002"
"2016-12-29","58.16"
"2016-12-30","58.439999"
"2017-01-03","59.16"
"2017-01-04","58.84"
"2017-01-05","59.439999"
"2017-01-06","58.970001"
"2017-01-09","57.77"
"2017-01-10","58.98"
"2017-01-11","59"
"2017-01-12","60.57"
"2017-01-13","60.099998"
"2017-01-17","59.66"
"2017-01-18","60"
"2017-01-19","59.860001"
"2017-01-20","60.310001"
"2017-01-23","61.07"
"2017-01-24","62.459999"
"2017-01-25","62.779999"
"2017-01-26","61.939999"
"2017-01-27","62.029999"
"2017-01-30","60.919998"
"2017-01-31","60.939999"
"2017-02-01","62.5"
"2017-02-02","65.010002"
"2017-02-03","65.489998"
"2017-02-06","64.330002"
"2017-02-07","64.470001"
"2017-02-08","64.209999"
"2017-02-09","65.199997"
"2017-02-10","64.540001"
"2017-02-13","66"
"2017-02-14","66.360001"
"2017-02-15","65.230003"
"2017-02-16","66.470001"
"2017-02-17","65.440002"
"2017-02-21","65.25"
"2017-02-22","64.82"
"2017-02-23","66.43"
"2017-02-24","65.260002"
"2017-02-27","65.440002"
"2017-02-28","65.25"
"2017-03-01","65.599998"
"2017-03-02","65.870003"
"2017-03-03","66.080002"
"2017-03-06","65.75"
"2017-03-07","65.300003"
"2017-03-08","65.919998"
"2017-03-09","65.360001"
"2017-03-10","65.540001"
"2017-03-13","66.129997"
"2017-03-14","66.260002"
"2017-03-15","66.860001"
"2017-03-16","69.160004"
"2017-03-17","69.279999"
"2017-03-20","68.559998"
"2017-03-21","68.669998"
"2017-03-22","68.019997"
"2017-03-23","69.559998"
"2017-03-24","72.169998"
"2017-03-27","73.400002"
"2017-03-28","74.5"
"2017-03-29","74.68"
"2017-03-30","74.07"
"2017-03-31","74.110001"
"2017-04-03","74.599998"
"2017-04-04","73.720001"
"2017-04-05","73.510002"
"2017-04-06","72.860001"
"2017-04-07","72.110001"
"2017-04-10","71.889999"
"2017-04-11","72.080002"
"2017-04-12","71.830002"
"2017-04-13","71.470001"
"2017-04-17","70.870003"
"2017-04-18","70.540001"
"2017-04-19","71.529999"
"2017-04-20","72.330002"
"2017-04-21","71.32"
"2017-04-24","72.889999"
"2017-04-25","73.629997"
"2017-04-26","74.879997"
"2017-04-27","75.669998"
"2017-04-28","75.5"
"2017-05-01","75.650002"
"2017-05-02","75.82"
"2017-05-03","75.360001"
"2017-05-04","78.629997"
"2017-05-05","81.68"
"2017-05-08","82.129997"
"2017-05-09","83.5"
"2017-05-10","84.089996"
"2017-05-11","82.790001"
"2017-05-12","82.559998"
"2017-05-15","84.279999"
"2017-05-16","84.589996"
"2017-05-17","84.830002"
"2017-05-18","82.559998"
"2017-05-19","83.669998"
"2017-05-22","83.459999"
"2017-05-23","84.029999"
"2017-05-24","84.440002"
"2017-05-25","85.120003"
"2017-05-26","85.010002"
"2017-05-30","85.269997"
"2017-05-31","86.309998"
"2017-06-01","87.190002"
"2017-06-02","90.43"
"2017-06-05","90.120003"
"2017-06-06","90"
"2017-06-07","90.400002"
"2017-06-08","91.709999"
"2017-06-09","91.639999"
"2017-06-12","89.019997"
"2017-06-13","88.839996"
"2017-06-14","88.720001"
"2017-06-15","85.82"
"2017-06-16","88.550003"
"2017-06-19","89.279999"
"2017-06-20","89.43"
"2017-06-21","89.110001"
"2017-06-22","89.07"
"2017-06-23","88.980003"
"2017-06-26","89.370003"
"2017-06-27","88.309998"
"2017-06-28","87.190002"
"2017-06-29","86.389999"
"2017-06-30","86.639999"
"2017-07-03","86.339996"
"2017-07-05","84.989998"
"2017-07-06","85.480003"
"2017-07-07","85.279999"
"2017-07-10","86.089996"
"2017-07-11","89.349998"
"2017-07-12","90.470001"
"2017-07-13","92.529999"
"2017-07-14","92.739998"
"2017-07-17","93.339996"
"2017-07-18","93.550003"
"2017-07-19","95.239998"
"2017-07-20","99.160004"
"2017-07-21","99.290001"
"2017-07-24","100.199997"
"2017-07-25","101.139999"
"2017-07-26","102.889999"
"2017-07-27","105.699997"
"2017-07-28","104.870003"
"2017-07-31","105.720001"
"2017-08-01","108.779999"
"2017-08-02","106"
"2017-08-03","108.68"
"2017-08-04","108.669998"
"2017-08-07","109.349998"
"2017-08-08","111.43"
"2017-08-09","110.110001"
"2017-08-10","110.190002"
"2017-08-11","106.589996"
"2017-08-14","108.559998"
"2017-08-15","110.580002"
"2017-08-16","110.519997"
"2017-08-17","110.739998"
"2017-08-18","110"
"2017-08-21","110.419998"
"2017-08-22","112.889999"
"2017-08-23","115.099998"
"2017-08-24","115.900002"
"2017-08-25","114.589996"
"2017-08-28","114.029999"
"2017-08-29","113.309998"
"2017-08-30","114.559998"
"2017-08-31","113.790001"
"2017-09-01","114.919998"
"2017-09-05","115.919998"
"2017-09-06","118.089996"
"2017-09-07","111.209999"
"2017-09-08","110.449997"
"2017-09-11","110.809998"
"2017-09-12","111.470001"
"2017-09-13","109.809998"
"2017-09-14","109.32"
"2017-09-15","110.589996"
"2017-09-18","111.75"
"2017-09-19","112.910004"
"2017-09-20","113.279999"
"2017-09-21","113.050003"
"2017-09-22","112.93"
"2017-09-25","112.940002"
"2017-09-26","110.139999"
"2017-09-27","109.199997"
"2017-09-28","109.720001"
"2017-09-29","110.029999"
"2017-10-02","110.760002"
"2017-10-03","112.580002"
"2017-10-04","114.019997"
"2017-10-05","114.139999"
"2017-10-06","111.959999"
"2017-10-09","112.690002"
"2017-10-10","116.300003"
"2017-10-11","116.330002"
"2017-10-12","115.970001"
"2017-10-13","115.809998"
"2017-10-16","114.900002"
"2017-10-17","115.949997"
"2017-10-18","116.199997"
"2017-10-19","114.739998"
"2017-10-20","115.040001"
"2017-10-23","114.709999"
"2017-10-24","114.720001"
"2017-10-25","115.540001"
"2017-10-26","115.309998"
"2017-10-27","116.059998"
"2017-10-30","116.629997"
"2017-10-31","118"
"2017-11-01","121"
"2017-11-02","118.489998"
"2017-11-03","118.25"
"2017-11-06","117.190002"
"2017-11-07","116.519997"
"2017-11-08","113.440002"
"2017-11-09","110.82"
"2017-11-10","109.779999"
"2017-11-13","110.199997"
"2017-11-14","110.18"
"2017-11-15","108.32"
"2017-11-16","109.650002"
"2017-11-17","109.639999"
"2017-11-20","109.915001"
"2017-11-21","111.709999"
"2017-11-22","111.980003"
"2017-11-24","113.169998"
"2017-11-27","112.75"
"2017-11-28","112.580002"
"2017-11-29","111.809998"
"2017-11-30","108.709999"
"2017-12-01","107.599998"
"2017-12-04","107.029999"
"2017-12-05","104.459999"
"2017-12-06","104.779999"
"2017-12-07","104.209999"
"2017-12-08","106.239998"
"2017-12-11","106.669998"
"2017-12-12","106"
"2017-12-13","106.650002"
"2017-12-14","106.449997"
"2017-12-15","104.849998"
"2017-12-18","105.489998"
"2017-12-19","105.739998"
"2017-12-20","105.800003"
"2017-12-21","105.400002"
"2017-12-22","105.440002"
"2017-12-26","106.540001"
"2017-12-27","106.150002"
"2017-12-28","106.360001"
"2017-12-29","105.949997"
"2018-01-02","104.120003"
"2018-01-03","106.339996"
"2018-01-04","112.610001"
"2018-01-05","112.739998"
"2018-01-08","112.82"
"2018-01-09","115"
"2018-01-10","114"
"2018-01-11","115.919998"
"2018-01-12","118.589996"
"2018-01-16","118.739998"
"2018-01-17","118.849998"
"2018-01-18","119.419998"
"2018-01-19","120.790001"
"2018-01-22","120.849998"
"2018-01-23","120.529999"
"2018-01-24","119.260002"
"2018-01-25","119.279999"
"2018-01-26","118.949997"
"2018-01-29","118.660004"
"2018-01-30","118.779999"
"2018-01-31","118.32"
"2018-02-01","123.949997"
"2018-02-02","130.350006"
"2018-02-05","127.32"
"2018-02-06","121.019997"
"2018-02-07","124.800003"
"2018-02-08","124.309998"
"2018-02-09","119.260002"
"2018-02-12","119.589996"
"2018-02-13","122.82"
"2018-02-14","122.040001"
"2018-02-15","129.529999"
